date;pressure;temp;
12/04/2017-10:43:40;-0.04119;25.349;
12/04/2017-10:43:41;-0.04042;25.366;
12/04/2017-10:43:41;-0.04042;25.368;
12/04/2017-10:43:41;-0.04119;25.389;
12/04/2017-10:43:42;-0.04195;25.375;
12/04/2017-10:43:42;-0.04119;25.370;
12/04/2017-10:43:42;-0.04119;25.364;
12/04/2017-10:43:42;-0.04271;25.372;
12/04/2017-10:43:43;-0.04119;25.362;
12/04/2017-10:43:43;-0.03966;25.356;
12/04/2017-10:43:43;-0.04119;25.366;
12/04/2017-10:43:44;-0.04042;25.345;
12/04/2017-10:43:44;-0.04119;25.364;
12/04/2017-10:43:44;-0.04042;25.356;
12/04/2017-10:43:45;-0.04195;25.341;
12/04/2017-10:43:45;-0.04119;25.364;
12/04/2017-10:43:45;-0.04119;25.356;
12/04/2017-10:43:46;-0.04119;25.352;
12/04/2017-10:43:46;-0.04271;25.345;
12/04/2017-10:43:46;-0.04042;25.364;
12/04/2017-10:43:47;-0.04042;25.343;
12/04/2017-10:43:47;-0.04042;25.349;
12/04/2017-10:43:47;-0.04042;25.354;
12/04/2017-10:43:47;-0.04119;25.356;
12/04/2017-10:43:48;-0.04195;25.358;
12/04/2017-10:43:48;-0.04119;25.373;
12/04/2017-10:43:48;-0.04195;25.358;
12/04/2017-10:43:49;-0.04042;25.333;
12/04/2017-10:43:49;-0.04271;25.286;
12/04/2017-10:43:49;-0.04271;25.276;
12/04/2017-10:43:50;-0.04271;25.274;
12/04/2017-10:43:50;-0.04042;25.301;
12/04/2017-10:43:50;-0.04042;25.364;
12/04/2017-10:43:51;-0.04119;25.370;
12/04/2017-10:43:51;-0.03966;25.349;
12/04/2017-10:43:51;-0.04042;25.343;
12/04/2017-10:43:51;-0.04119;25.337;
12/04/2017-10:43:52;-0.04195;25.349;
12/04/2017-10:43:52;-0.04042;25.362;
12/04/2017-10:43:52;-0.04042;25.352;
12/04/2017-10:43:53;-0.04119;25.339;
12/04/2017-10:43:53;-0.04119;25.339;
12/04/2017-10:43:53;-0.04119;25.345;
12/04/2017-10:43:54;-0.04119;25.364;
12/04/2017-10:43:54;-0.04195;25.385;
12/04/2017-10:43:54;-0.04042;25.400;
12/04/2017-10:43:55;-0.04119;25.404;
12/04/2017-10:43:55;-0.04195;25.398;
12/04/2017-10:43:55;-0.04195;25.393;
12/04/2017-10:43:55;-0.04119;25.391;
12/04/2017-10:43:56;-0.04119;25.402;
12/04/2017-10:43:56;-0.04042;25.400;
12/04/2017-10:43:56;-0.04195;25.423;
12/04/2017-10:43:57;-0.04042;25.419;
12/04/2017-10:43:57;-0.03966;25.393;
12/04/2017-10:43:57;-0.04042;25.381;
12/04/2017-10:43:58;-0.04195;25.404;
12/04/2017-10:43:58;-0.04119;25.404;
12/04/2017-10:43:58;-0.04042;25.404;
12/04/2017-10:43:59;-0.04271;25.406;
12/04/2017-10:43:59;-0.04119;25.393;
12/04/2017-10:43:59;-0.04195;25.421;
12/04/2017-10:44:00;-0.04119;25.396;
12/04/2017-10:44:00;-0.04119;25.406;
12/04/2017-10:44:01;-0.04119;25.375;
12/04/2017-10:44:02;-0.04042;25.379;
12/04/2017-10:44:02;-0.04042;25.391;
12/04/2017-10:44:02;-0.04042;25.391;
12/04/2017-10:44:02;-0.04195;25.389;
12/04/2017-10:44:03;-0.04195;25.400;
12/04/2017-10:44:03;-0.03966;25.377;
12/04/2017-10:44:03;-0.04042;25.385;
